dataset,column,role,dtype,source_or_derivation,allowed_in_X,notes
person_day_context,row_id,IDENTITY,string,SHA256(partition|H_ID|HP_ID|dataset),NO,Deterministic row identity.
person_day_context,source_household_id,IDENTITY,int64,H_ID,NO,Join/provenance only.
person_day_context,source_person_id,IDENTITY,int64,HP_ID,NO,Join/provenance only.
person_day_context,source_person_slot,IDENTITY,int16,P_ID,NO,Roster linkage only.
person_day_context,age_infr_class,FEATURE,category,HP_ALTER -> frozen age_infr_class,YES,STATIC_CORE_V1
person_day_context,sex,FEATURE,category,HP_SEX -> MALE/FEMALE,YES,STATIC_CORE_V1
person_day_context,primary_activity_status,FEATURE,category,HP_TAET -> frozen activity recoding,YES,STATIC_CORE_V1
person_day_context,household_size_class,FEATURE,category,H_GR,YES,STATIC_CORE_V1; strict source households imply 1..5.
person_day_context,source_weekday,FEATURE_SOURCE_ANALOGUE,int8,ST_WOTAG,YES,Runtime analogue is scenario_weekday.
person_day_context,source_season,FEATURE_SOURCE_ANALOGUE,int8,saison,YES,Runtime analogue is scenario_month_or_season; domain 1..4.
person_day_context,hh_car_stock_class,FEATURE,category,hh_car_stock_class canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,hh_motorcycle_moped_stock_class,FEATURE,category,hh_motorcycle_moped_stock_class canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,hh_ebike_stock_class,FEATURE,category,hh_ebike_stock_class canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,hh_bike_stock_class,FEATURE,category,hh_bike_stock_class canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,hh_carsharing_membership,FEATURE,category,hh_carsharing_membership canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,person_car_access,FEATURE,category,person_car_access canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,person_bike_access,FEATURE,category,person_bike_access canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,person_ebike_access,FEATURE,category,person_ebike_access canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,person_carsharing_membership,FEATURE,category,person_carsharing_membership canonicalization,YES,Only consumed by PART_FEATURES_V1 in core v1.
person_day_context,fit_weight_P_GEW,WEIGHT,float64,P_GEW,NO,Weight column; never in X.
participation,context_row_id,FK,string,person_day_context.row_id,NO,Static/calendar/resource context joined without duplicating semantics.
participation,source_household_id,IDENTITY,int64,H_ID,NO,Provenance/join only.
participation,source_person_id,IDENTITY,int64,HP_ID,NO,Provenance/join only.
