field_or_group,source_layer,semantic_role,information_class,fit_role,runtime_role,allowed_components,prohibited_use,notes
age_infr_class,M1/source analogue,static demographic,ALLOWED_RUNTIME,candidate predictor from TRAIN,candidate runtime predictor,ALL,none,Low-support policy applies; no TEST fitting.
sex,M1/source analogue,static demographic,ALLOWED_RUNTIME,candidate predictor from TRAIN,candidate runtime predictor,ALL,none,Use source analogue in fit and generated-person value at runtime.
primary_activity_status,M1/source analogue,static activity status,ALLOWED_RUNTIME,candidate predictor from TRAIN,candidate runtime predictor,ALL,none,"Observed static state, not realised daily purpose."
employment_participation,M1/source analogue,static employment state,ALLOWED_RUNTIME,candidate predictor from TRAIN,candidate runtime predictor,ALL,none,Static M1 state.
household_size_class,M1/source analogue,static household context,ALLOWED_RUNTIME,candidate predictor from TRAIN,candidate runtime predictor,ALL,none,Household-level split remains atomic.
home_geography_context,M1/source analogue,generated home geography / LOR context,ALLOWED_RUNTIME,candidate predictor with support/backoff control,candidate runtime context,ALL,exact destination inference,May use generated home zone/aggregations; not donor OD or destination.
household_resource_ownership,M1,static household resource state,ALLOWED_RUNTIME,candidate predictor,candidate runtime predictor,PARTICIPATION;TRIP_COUNT;CHAIN;TIME;DISTANCE,treat as dynamic availability,Ownership is not Access or Availability(t).
household_resource_access,M1,static person/household access relation,ALLOWED_RUNTIME,candidate predictor,candidate runtime predictor,PARTICIPATION;TRIP_COUNT;CHAIN;TIME;DISTANCE,treat as chosen mode,Access may condition demand without becoming mode outcome.
scenario_date,Scenario,exogenous known date,ALLOWED_RUNTIME,runtime analogue for source calendar context,required runtime context,ALL,source diary date copying,Known before generation.
scenario_weekday,Scenario derived,calendar context,ALLOWED_RUNTIME,fit through source weekday analogue,derived from scenario_date,ALL,future outcome derivation,Deterministically derived from scenario_date.
scenario_month_or_season,Scenario derived,calendar context,ALLOWED_RUNTIME,fit through source month/season analogue,derived from scenario_date,ALL,source survey-year identity,Hybrid-year provenance must remain explicit.
scenario_holiday,Scenario derived,calendar context,ALLOWED_RUNTIME,fit through source holiday analogue,derived from scenario calendar,ALL,post-hoc execution state,Known ex ante.
scenario_known_context,Scenario,other exogenous scenario flags known before generation,ALLOWED_RUNTIME,candidate only if source-compatible or explicitly scenario-only,candidate runtime context,ALL,derive from generated/executed mobility,Must be fixed before the day is generated.
generated_participation,D_GEN upstream,generated state,ALLOWED_RUNTIME,not a source predictor,upstream generated state,TRIP_COUNT;CHAIN;TIME;DISTANCE,replace with mobil_diff donor value,Produced by DG_PARTICIPATION.
generated_trip_count,D_GEN upstream,generated state,ALLOWED_RUNTIME,not a source predictor,upstream generated state,CHAIN;TIME;DISTANCE,replace with source realised count,Produced by DG_TRIP_COUNT.
generated_chain_prefix,D_GEN upstream,generated prefix,ALLOWED_RUNTIME,teacher-forcing policy deferred to F3.1b,prefix already generated in current plan,CHAIN;TIME;DISTANCE,peek at future chain states,Only past/current generated states are visible.
generated_activity_chain,D_GEN upstream,generated sequence,ALLOWED_RUNTIME,not a source runtime feature,upstream generated state,TIME;DISTANCE,replace with source future sequence,Produced by DG_ACTIVITY_CHAIN.
generated_time_prefix,D_GEN upstream,generated temporal prefix,ALLOWED_RUNTIME,teacher-forcing policy deferred to F3.1b,prefix already generated in current plan,TIME;DISTANCE,peek at later generated times,Only already generated times may condition later steps.
