registry_id,f0_source,canonical_field,entity,source_system,source_table,source_variable,source_role,variable_role,provenance_class,observation_status_policy,derived_from,temporal_class,event_scope,available_from,allowed_modules,allowed_use,forbidden_use,runtime_core_input_policy,leakage_risk,no_future_status,fit_role,validation_role,notes
D001,F0.3a,person_day.source_person_id,PersonDayObservation,MiD2017_B1_v1.1,Personen,P_ID/HP_ID,OBSERVATION,IDENTITY,OBSERVED,,,SOURCE_IDENTITY,PERSON_DAY,M0_INGESTION,M0;M7,join/provenance only,behavioral feature; global join by P_ID alone,NEVER,NONE,PASS_WITH_GUARD,NONE,AVAILABLE,HP_ID is authoritative person join key for Personen↔Wege; P_ID is household-relative.
D002,F0.3a,person_day.source_household_id,PersonDayObservation,MiD2017_B1_v1.1,Personen,H_ID,OBSERVATION,IDENTITY,OBSERVED,OBSERVED;SOURCE_LINK_UNAVAILABLE,,SOURCE_IDENTITY,PERSON_DAY,M0_INGESTION,M0;M7,household linkage/provenance,behavioral feature; heuristic linkage when H_ID=0,NEVER,NONE,PASS_WITH_GUARD,NONE,AVAILABLE,
D003,F0.3a,person_day.survey_year,PersonDayObservation,MiD2017_B1_v1.1,Personen,ST_JAHR,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_REFERENCE_DAY_CONTEXT,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,fit/stratify daily demand by known calendar context; replay source day,copy donor calendar value into unrelated D_GEN person-day,SCENARIO_EQUIVALENT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,Reference-day year. Generated operation must use scenario-equivalent calendar context.
D004,F0.3a,person_day.survey_month,PersonDayObservation,MiD2017_B1_v1.1,Personen,ST_MONAT,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_REFERENCE_DAY_CONTEXT,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,fit/stratify daily demand by known calendar context; replay source day,copy donor calendar value into unrelated D_GEN person-day,SCENARIO_EQUIVALENT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,Reference-day month. Generated operation must use scenario-equivalent calendar context.
D005,F0.3a,person_day.survey_calendar_week,PersonDayObservation,MiD2017_B1_v1.1,Personen,ST_WOCHE,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_REFERENCE_DAY_CONTEXT,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,fit/stratify daily demand by known calendar context; replay source day,copy donor calendar value into unrelated D_GEN person-day,SCENARIO_EQUIVALENT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,Reference-day calendar week. Generated operation must use scenario-equivalent calendar context.
D006,F0.3a,person_day.survey_weekday,PersonDayObservation,MiD2017_B1_v1.1,Personen,ST_WOTAG,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_REFERENCE_DAY_CONTEXT,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,fit/stratify daily demand by known calendar context; replay source day,copy donor calendar value into unrelated D_GEN person-day,SCENARIO_EQUIVALENT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,Reference-day weekday. Generated operation must use scenario-equivalent calendar context.
D007,F0.3a,person_day.is_holiday,PersonDayObservation,MiD2017_B1_v1.1,Personen,feiertag,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_REFERENCE_DAY_CONTEXT,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,fit/stratify daily demand by known calendar context; replay source day,copy donor calendar value into unrelated D_GEN person-day,SCENARIO_EQUIVALENT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,Reference-day holiday indicator. Generated operation must use scenario-equivalent calendar context.
D008,F0.3a,person_day.season,PersonDayObservation,MiD2017_B1_v1.1,Personen,saison,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_REFERENCE_DAY_CONTEXT,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,fit/stratify daily demand by known calendar context; replay source day,copy donor calendar value into unrelated D_GEN person-day,SCENARIO_EQUIVALENT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,Reference-day season. Generated operation must use scenario-equivalent calendar context.
D009,F0.3a,person_day.household_link_status,PersonDayObservation,MiD2017_B1_v1.1,Personen,H_ID,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,person_day.source_household_id,QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,eligibility/filtering/provenance,behavioral covariate,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D010,F0.3a,person_day.source_mobility_status,PersonDayObservation,MiD2017_B1_v1.1,Personen,mobil_diff,OBSERVATION,OBSERVED,OBSERVED,"0,1,2,3,4,5,6,9 preserved distinctly",,SOURCE_DAY_OUTCOME,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,authoritative source label for participation semantics,runtime predictor of participation for same generated day; collapse 4/6/9 into NoTrip,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,PARTICIPATION_SOURCE_LABEL,AVAILABLE,
