source_id,path,sha256,role,consumed_for_rows,notes
raw_households,data/raw/mid/MiD2017_Haushalte.csv,0d7a20b5f29839a29ce0b41ffaecaca15da844ff85e15d1acc6fe786c9bde4f5,FIT_CONTEXT,YES,Household roster/resources; TRAIN/CAL selected only through frozen household split.
raw_persons,data/raw/mid/MiD2017_Personen.csv,71eebaf30d163ca7b406a2501ff4e96c840c53b44f2d731ffc0019e9f06e414e,FIT_CONTEXT_AND_PERSONDAY,YES,"Static person state, calendar analogues, participation label, P_GEW, person access."
r2_split_manifest,artifacts/runs/R2_eligibility_split_v1/split_manifest_reproduced.csv,5d0d4f2a41bc93b131de96d85192d8ff7002878e28e87515a0f88cedf1cebde8,ELIGIBILITY_PARTITION,YES,Household-atomic TRAIN/CAL assignment; TEST labels may be present in manifest but TEST outcomes are never joined/materialized.
activity_recoding,configs/reproduction/reference/f0_2d_activity_recoding_v1.csv,85e17e7c718133b616cd8c872f905dbd95d2369ff1ba423037087a894623e86a,CANONICAL_RECODING,YES,Frozen HP_TAET -> canonical activity/employment recoding.
f0_3b_personday_coverage,configs/reproduction/reference/simfleet_edg_F0_3b_berlin_personday_coverage_v1.csv,686b5d50d4ca42b494b556f9680e754a97bd69b753a61bdb2de1bcdc911ca053,COUNT_EVIDENCE,YES,CORE_STRICT_COUNT and analytic_total_trip_count.
f0_3c_person_sequence,configs/reproduction/reference/simfleet_edg_F0_3c_berlin_person_sequence_eligibility_v1.csv,29caedf88ff0b2e894681ef977a2d2f688dc2d6e0762c8ac571bb9d359eea191,CHAIN_DAY_ELIGIBILITY,YES,Full functional sequence eligibility.
f0_3c_trip_transition,configs/reproduction/reference/simfleet_edg_F0_3c_berlin_trip_transition_audit_v1.csv,5110c3d308c1be30d2e5084cb244466c2257914219751bcace6213939d3a5b1c,CHAIN_EVIDENCE,YES,Canonical purpose/origin/destination and transition eligibility.
f0_3d_trip_time,configs/reproduction/reference/simfleet_edg_F0_3d_berlin_trip_time_audit_v1.csv,4b23543f941004c7af7fcc350a67ec47dea4b2eec36478522384d224ad0148f2,TIME_EVIDENCE_AND_TRIP_WEIGHT,YES,Temporal targets and W_GEW; also supplies W_GEW join for transition/spatial evidence.
f0_3e_trip_spatial,configs/reproduction/reference/simfleet_edg_F0_3e_berlin_trip_spatial_coverage_v1.csv,f9292252ac5e7deb871ef6230c47f4f4edb8eb3e033b8bff891c33708ddf41a1,DISTANCE_EVIDENCE,YES,Raw wegkm primary and wegkm_imp sensitivity; km_routing explicitly excluded.
f0_3g_nofuture_registry,configs/reproduction/reference/simfleet_edg_F0_3g_demand_variable_role_registry_v1.csv,288a69b87592e060822bc221205835cc0503d50d217423b50da04152c86705f3,POLICY_WITNESS,NO,NoFutureInformation policy witness; not a row source.
r4_persons_interface,artifacts/runs/R4_ptrs_m_v1/simfleet_edg_P_TRS_EXP_V1_M_persons_v1.csv,e75c5c2ba417ddbd87bc074796f6052675cc325c1cec1f671fb8faf288edf70c,RUNTIME_INTERFACE_COMPATIBILITY,NO,Synthetic rows must never become fitting evidence.
r4_households_interface,artifacts/runs/R4_ptrs_m_v1/simfleet_edg_P_TRS_EXP_V1_M_households_v1.csv,a7aed5fdfa1e55ec94781733b3144d5ffab8d9051b2663e5eb6672939948ee42,RUNTIME_INTERFACE_COMPATIBILITY,NO,Schema/interface compatibility only.
r4_resources_interface,artifacts/runs/R4_ptrs_m_v1/simfleet_edg_P_TRS_EXP_V1_M_resources_v1.csv,c4f6ecdf7556a66e0faa5eba7704d7cc54c99fbf9387082c2a4c599f7f390842,RUNTIME_INTERFACE_COMPATIBILITY,NO,Canonical resource semantics compatibility only; not fit source.
